"CHAVE DE ACESSO","MODELO","SÉRIE","NÚMERO","NATUREZA DA OPERAÇÃO","DATA EMISSÃO","EVENTO MAIS RECENTE","DATA/HORA EVENTO MAIS RECENTE","CPF/CNPJ Emitente","RAZÃO SOCIAL EMITENTE","INSCRIÇÃO ESTADUAL EMITENTE","UF EMITENTE","MUNICÍPIO EMITENTE","CNPJ DESTINATÁRIO","NOME DESTINATÁRIO","UF DESTINATÁRIO","INDICADOR IE DESTINATÁRIO","DESTINO DA OPERAÇÃO","CONSUMIDOR FINAL","PRESENÇA DO COMPRADOR","VALOR NOTA FISCAL"
"32250148658655000188550010000007301109131230","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","730","VENDA MERC DENTRO ESTADO","01/01/2025 00:00:00","Autorização de Uso","01/01/2025 21:16:33","48658655000188","FADINI SOLUCOES LTDA","83998284","ES","VILA VELHA","10838653001170","INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO ES","ES","CONTRIBUINTE ISENTO","1 - OPERAÇÃO INTERNA","0 - NORMAL","1 - OPERAÇÃO PRESENCIAL","2970.00"
"51250104695497000160550110000434184166743940","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","11","43418","VENDA DE COMBUSTIVEL OU LUBRIFICANTE ADQUIRIDO OU RECEB","01/01/2025 06:19:19","Autorização de Uso","01/01/2025 07:04:45","04695497000160","C. MITIKO SACUNO LTDA","132046059","MT","SINOP","00394544004504","MINISTERIO DA SAUDE","MT","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","461.08"
"51250104695497000160550110000434191056340194","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","11","43419","VENDA DE COMBUSTIVEL OU LUBRIFICANTE ADQUIRIDO OU RECEB","01/01/2025 06:26:54","Autorização de Uso","01/01/2025 06:26:56","04695497000160","C. MITIKO SACUNO LTDA","132046059","MT","SINOP","00394544004504","MINISTERIO DA SAUDE","MT","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","682.50"
"33250128503456000193550020000440181101927108","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","2","44018","VENDA","01/01/2025 06:41:12","Autorização de Uso","01/01/2025 06:41:15","28503456000193","POSTO DOS PESCADORES LTDA","80607644","RJ","ANGRA DOS REIS","00394502011774","COMANDO DA MARINHA DEL. CAPITANIA DOS PORTOS RJ","RJ","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","389.05"
"33250129051570000192550060000573941110143139","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","6","57394","VENDA","01/01/2025 06:43:55","Autorização de Uso","01/01/2025 06:43:55","29051570000192","POSTO DOS SANTOS REIS LTDA","80610599","RJ","ANGRA DOS REIS","00394502011774","COMANDO DA MARINHA DEL. CAPITANIA DOS PORTOS RJ","RJ","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","418.40"
"26250124380578002041556080000073321391722962","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","608","7332","VENDA PROD. ESTAB. EFET. FORA ESTABELECIMENTO","01/01/2025 07:33:00","Autorização de Uso","01/01/2025 07:53:00","24380578002041","WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA.","15374157","PE","JABOATAO DOS GUARARAPES","09577422000107","HOSPITAL MILITAR DE AREA DE RECIFE","PE","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","5 - NÃO INFORMADO","126.00"
"33250100331788000623552000005060881703229637","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","200","506088","VENDA DE MERC.ADQ.REC.TER","01/01/2025 07:34:53","Autorização de Uso","01/01/2025 07:34:57","00331788000623","AIR LIQUIDE BRASIL LTDA","75903340","RJ","BELFORD ROXO","33663683002674","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO","RJ","CONTRIBUINTE ISENTO","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","9 - OPERAÇÃO NÃO PRESENCIAL. OUTROS","5009.16"
"33250103339270000110550010000016921000007107","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","1692","VENDA","01/01/2025 08:00:00","Autorização de Uso","02/01/2025 09:43:38","03339270000110","THE BEST PHARMA LTDA ME","75818084","RJ","RIO DE JANEIRO","09654737000100","BATALHAO DE MANUTENCAO E SUPRIMENTO DE ARMAMENTO","RJ","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","0 - NORMAL","0 - NÃO SE APLICA","1706.00"
"15250133453598002410550010000361671896427110","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","36167","Venda de combustivel ou lubrificante a consumidor","01/01/2025 08:19:47","Autorização de Uso","03/01/2025 08:20:01","33453598002410","RAIZEN S.A.","150053797","PA","BELEM","00394429003045","COMANDO DA AERONAUTICA","SP","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","1962.47"
"26250124380578002041556080000073341447437359","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","608","7334","VENDA PROD. ESTAB. EFET. FORA ESTABELECIMENTO","01/01/2025 08:38:20","Autorização de Uso","01/01/2025 08:38:57","24380578002041","WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA.","15374157","PE","JABOATAO DOS GUARARAPES","00394429006494","COMANDO DA AERONAUTICA","PE","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","5 - NÃO INFORMADO","112.00"
